title,owner,like,view,mid,bvid,url,author_href,author,following,follower,like_author,video_view,article_view
周一氪几个648提波战力！这波运气非常好！,鬼叔黍,6524,114619,38568774,BV1gg411o7sR,https://www.bilibili.com/video/BV1gg411o7sR,https://space.bilibili.com/38568774,鬼叔黍,423,373392,3021752,33767025,0
【足太Penta】如果你能握住我的手【超会议欢迎回来！】,足太姬,3365,15975,15404697,BV1JY411F7Qz,https://www.bilibili.com/video/BV1JY411F7Qz,https://space.bilibili.com/15404697,足太姬,1,273374,947929,23730329,80555
乐高定格动画 爆肝五月新品10309多肉植物,李肥肥的生活,27743,240189,9609403,BV1aF411T7B9,https://www.bilibili.com/video/BV1aF411T7B9,https://space.bilibili.com/9609403,李肥肥的生活,140,5130,40822,641374,0
梁漱溟整理的民族十大品性,天真的和感伤的小说家,9314,96493,314521322,BV1Su411r7Uj,https://www.bilibili.com/video/BV1Su411r7Uj,https://space.bilibili.com/314521322,天真的和感伤的小说家,46,886963,3553587,41548725,99636
小婷说好久没吃炸鸡和汉堡，花99买个炸鸡套餐，过节人多真热闹,楊小婷,5974,125166,487418383,BV1x44y137QD,https://www.bilibili.com/video/BV1x44y137QD,https://space.bilibili.com/487418383,楊小婷,22,306439,5107410,107527024,0
VLOG.我独自生活·居家整理·画画·骑车看花花的简单日常,宋京墨,1281,20188,90786722,BV1jB4y197NW,https://www.bilibili.com/video/BV1jB4y197NW,https://space.bilibili.com/90786722,宋京墨,84,164592,498539,13028542,22465
雷律第二把专属来了，天殛之钥？天寄之钥！,傀儡的夜晚,11450,237461,6014199,BV1UY411c7br,https://www.bilibili.com/video/BV1UY411c7br,https://space.bilibili.com/6014199,傀儡的夜晚,285,225010,7862749,100683671,84877
聊聊父母与孩子（上）【欧丽娟】,歐麗娟,2570,28650,1867363969,BV1VU4y1m7NH,https://www.bilibili.com/video/BV1VU4y1m7NH,https://space.bilibili.com/1867363969,歐麗娟,3,440731,269692,4580010,0
坏掉的U盘先别扔 或许拯救下还能用 又能省下一笔不菲的开支,软件小棉袄,1092,29806,1111740218,BV1AY4y1t7Mp,https://www.bilibili.com/video/BV1AY4y1t7Mp,https://space.bilibili.com/1111740218,软件小棉袄,2,946,3850,95857,0
能不能让她帮我考教资,快乐源泉bot,9674,219862,3107068,BV1Va411E7bP,https://www.bilibili.com/video/BV1Va411E7bP,https://space.bilibili.com/3107068,快乐源泉bot,9,711131,39742300,743155650,2229
【亮记生物鉴定“冰狐”篇】神奇物种在哪里？,央视新闻,137326,1247843,456664753,BV1W94y1U7hM,https://www.bilibili.com/video/BV1W94y1U7hM,https://space.bilibili.com/456664753,央视新闻,19,9091862,212678085,1635081678,7702150
大力出奇迹！非洲一哥拼命硬钢，张继科连球都接不到一个！,一定要坚强呃,7896,245772,471024593,BV15L4y1F7Pt,https://www.bilibili.com/video/BV15L4y1F7Pt,https://space.bilibili.com/471024593,一定要坚强呃,9,1194,101426,2168404,0
VLOG｜英国七年，我找到一种生活的平衡,谭立人,1268,17606,347077636,BV1QS4y1b7bt,https://www.bilibili.com/video/BV1QS4y1b7bt,https://space.bilibili.com/347077636,谭立人,7,6583,7351,170712,0
眼睛画不对称怎么办？新手动漫眼睛教程，专治不对称。二次元手绘画法,柯小逸,15329,169850,413432914,BV1HY4y1h7e4,https://www.bilibili.com/video/BV1HY4y1h7e4,https://space.bilibili.com/413432914,柯小逸,61,153341,452211,7456774,0
论好看的手加上纹身能有多绝,PB阿星儿,21395,329151,13733433,BV1c44y1g7wE,https://www.bilibili.com/video/BV1c44y1g7wE,https://space.bilibili.com/13733433,PB阿星儿,305,662408,3905027,42188676,5717
高考前最后30天，我和我的朋友有话说！！||北大||复旦||同济||武大||北理||上财||央财||对外经贸,小哲要发光,2153,35242,55898947,BV1sa411a7yd,https://www.bilibili.com/video/BV1sa411a7yd,https://space.bilibili.com/55898947,小哲要发光,776,422,2404,41505,0
全网最保姆级的自行车改色、定制涂装教程,GiantBear,867,23332,166366907,BV1k5411R7tf,https://www.bilibili.com/video/BV1k5411R7tf,https://space.bilibili.com/166366907,GiantBear,743,576,1089,31476,0
300年前得眼病就靠它，中药做的如今没几人会用，民族品牌要振兴,人物微纪实,21623,346183,1856858706,BV1ba411Y7dT,https://www.bilibili.com/video/BV1ba411Y7dT,https://space.bilibili.com/1856858706,人物微纪实,2,17549,195782,3018074,0
队友，谢谢你！,坦克世界官方账号,7667,101867,597903167,BV19i4y1m7mx,https://www.bilibili.com/video/BV19i4y1m7mx,https://space.bilibili.com/597903167,坦克世界官方账号,26,161365,1033790,20755308,356718
我把《清明上河图》里最著名的片段刻在了一枚印章上，漂亮极了。,在慈堂,104875,2144712,367976200,BV1TY4y1r7Ba,https://www.bilibili.com/video/BV1TY4y1r7Ba,https://space.bilibili.com/367976200,在慈堂,49,58956,483258,8552067,0
【渊默行动强杀33级】高血压慎入-您在最难旧约顶层打门杀？,柏喙攻略组,27759,250697,512280695,BV1Vr4y1t7PN,https://www.bilibili.com/video/BV1Vr4y1t7PN,https://space.bilibili.com/512280695,柏喙攻略组,135,22702,489298,5387178,29544
如何读懂PyTorch深度学习代码-以基于人体姿态估计的仰卧起坐计数为例,杨力AI,1756,35723,242065033,BV1oS4y1c7vs,https://www.bilibili.com/video/BV1oS4y1c7vs,https://space.bilibili.com/242065033,杨力AI,14,4258,3132,84796,0
【复旦哲学教授徐英瑾】自尊心过强的人，往往无法接受真理的光芒。如何成为一个真正的精神强者？,徐英瑾文史哲,1362,27804,523386905,BV1v541197Gw,https://www.bilibili.com/video/BV1v541197Gw,https://space.bilibili.com/523386905,徐英瑾文史哲,3,68230,54076,1438479,0
「小泽」华为WATCH GT3 Pro陶瓷版开箱：好精致的小瓷表,钟文泽,22954,828069,25910292,BV1vY4y1Y7dW,https://www.bilibili.com/video/BV1vY4y1Y7dW,https://space.bilibili.com/25910292,钟文泽,0,1929352,6682157,277549865,0
【Suzy】恋爱0次 保送当妈｜荆棘公主cos仿妆,Suzy_Z_,24902,364039,151365295,BV1634y1h7BD,https://www.bilibili.com/video/BV1634y1h7BD,https://space.bilibili.com/151365295,Suzy_Z_,160,1003069,4551678,53702673,0
野钓最强钓饵，轻松避开小杂鱼，使用效果远远超过商品饵,湖库钓鱼老孙,1166,21795,244385352,BV1ZY4y1z7hy,https://www.bilibili.com/video/BV1ZY4y1z7hy,https://space.bilibili.com/244385352,湖库钓鱼老孙,18,1332,4587,184273,0
当你夏天没有胃口时，这四道菜最适合你！,小猪的蔬食magic,4314,121309,175479981,BV1vS4y1h76z,https://www.bilibili.com/video/BV1vS4y1h76z,https://space.bilibili.com/175479981,小猪的蔬食magic,63,91754,164767,3872214,0
游戏输麻了，外面走一走[脱单doge],雨逍-不止游戏,201,1135,647720220,BV1zL4y1c7Uk,https://www.bilibili.com/video/BV1zL4y1c7Uk,https://space.bilibili.com/647720220,雨逍-不止游戏,48,29001,260320,4412768,0
妻子在夜店被强奸，报案后发现竟然是自己老公,学法联盟,675,9428,650966649,BV1fF411L7fu,https://www.bilibili.com/video/BV1fF411L7fu,https://space.bilibili.com/650966649,学法联盟,48,576319,5447313,124597907,0
电玩店免费没人来玩，老板为了拉人又开始卷了，从今天开始送饮料了,小张是逗比,2196,22132,319562107,BV1m54y1Z7Rr,https://www.bilibili.com/video/BV1m54y1Z7Rr,https://space.bilibili.com/319562107,小张是逗比,40,17847,644892,7534343,0
【CSGO】FaZe用四年时间完成了关键的20秒转点,网易BUFF,2360,45683,645647361,BV1bT4y1q7CX,https://www.bilibili.com/video/BV1bT4y1q7CX,https://space.bilibili.com/645647361,网易BUFF,36,118746,670936,15960596,2868958
天天姐给弟弟的惊喜便当｜闪现到弟弟学校门口？是一种什么样的体验？！给住校的同学也带去姐姐的温暖,天天吃8,2693,647943,384800065,BV1nr4y187C6,https://www.bilibili.com/video/BV1nr4y187C6,https://space.bilibili.com/384800065,天天吃8,34,278183,1697637,124165377,0
《三年CSGO第一次见打残局有这样的反应速度》,残杀Top丶KILL,34608,517272,24453454,BV1iF41177KC,https://www.bilibili.com/video/BV1iF41177KC,https://space.bilibili.com/24453454,残杀Top丶KILL,40,70002,734899,10493231,0
这就是刻晴的极致，斩尽芜杂！,名字就叫大梦一场,53982,932494,312760509,BV1ga411a7Di,https://www.bilibili.com/video/BV1ga411a7Di,https://space.bilibili.com/312760509,名字就叫大梦一场,60,171979,3397052,64733477,0
【洗脑循环】阿尼亚大合唱,蜗牛漫剪,21019,351048,173311760,BV1tZ4y1h7Cq,https://www.bilibili.com/video/BV1tZ4y1h7Cq,https://space.bilibili.com/173311760,蜗牛漫剪,20,393,22339,362866,0
鞋dog#12:莫兰特穿假鞋？李宁球鞋最佳购入时间！kt7low与市售不一样？四款新发国产球鞋开箱展示！,鞋道馆,4258,73010,12572013,BV1kv4y1P7Vh,https://www.bilibili.com/video/BV1kv4y1P7Vh,https://space.bilibili.com/12572013,鞋道馆,836,85855,492248,9041132,23809
百度二十年都没做的夜间模式，现在我来帮它实现,是毛布斯呀,9795,115313,14193369,BV1k54y1f7Xb,https://www.bilibili.com/video/BV1k54y1f7Xb,https://space.bilibili.com/14193369,是毛布斯呀,173,277587,1333309,16754109,12168
165夏季男友穿搭 | 快进来学叠穿！！夏天再这样穿我是真的会谢！,痴五安chammy,1358,16099,327903909,BV1Qv4y1A7jR,https://www.bilibili.com/video/BV1Qv4y1A7jR,https://space.bilibili.com/327903909,痴五安chammy,181,108280,210143,5094371,181377
当神威邂逅永昼,大魔王不欧,32824,1703438,543094563,BV1Au411r7es,https://www.bilibili.com/video/BV1Au411r7es,https://space.bilibili.com/543094563,大魔王不欧,28,265963,4425944,424879266,0
这就是鸡翅好吃的经典做法，不油炸比红烧的香，正宗味道不输饭店,老东北美食,2213,21564,514273130,BV1DF411T7qf,https://www.bilibili.com/video/BV1DF411T7qf,https://space.bilibili.com/514273130,老东北美食,36,305077,3174318,38490831,0
为什么火车不装沙子会寸步难行？沙子喷到铁轨上后，才明白其原理,沫沫科普,14282,351625,1868038881,BV1U3411K7oS,https://www.bilibili.com/video/BV1U3411K7oS,https://space.bilibili.com/1868038881,沫沫科普,2,1428,38111,1808166,0
深夜销魂炒泡面！13r还带大炸蛋！｜圆圈圈大理探店vlog,吃货圆圈圈,6965,120919,483818625,BV1Uu411k7dB,https://www.bilibili.com/video/BV1Uu411k7dB,https://space.bilibili.com/483818625,吃货圆圈圈,53,299953,1981828,36409886,0
劳动最光荣，致敬劳动者！！！,缘分的星光,289775,3690785,1188316431,BV1vY4y1k7s3,https://www.bilibili.com/video/BV1vY4y1k7s3,https://space.bilibili.com/1188316431,缘分的星光,9,27409,511407,5402194,0
【贝拉翻唱】光的方向 | 折断翅膀，也要飞翔！【直播剪辑】,贝拉kira,14453,62135,672353429,BV1Rt4y1W7KF,https://www.bilibili.com/video/BV1Rt4y1W7KF,https://space.bilibili.com/672353429,贝拉kira,12,547599,8066254,30887608,0
《 叫 花 鸡 打 人 》,李白给__,20884,173379,1665610509,BV1PZ4y1a7yg,https://www.bilibili.com/video/BV1PZ4y1a7yg,https://space.bilibili.com/1665610509,李白给__,63,344961,2988345,27932392,0
这要求很高吗?,internet-boy,7955,123940,415403269,BV1e3411A733,https://www.bilibili.com/video/BV1e3411A733,https://space.bilibili.com/415403269,internet-boy,0,949780,43354100,689573350,10736
羊毛西红柿 / 定格动画道具制作,红胡子老爹定格工坊,1692,10520,73385525,BV1jZ4y1a7qF,https://www.bilibili.com/video/BV1jZ4y1a7qF,https://space.bilibili.com/73385525,红胡子老爹定格工坊,5,353235,1606119,15184560,0
孙策：多是一件美逝阿～,仙泽干将,22145,254181,480665999,BV1gU4y1U7KN,https://www.bilibili.com/video/BV1gU4y1U7KN,https://space.bilibili.com/480665999,仙泽干将,5,519960,4725379,98943306,0
《突发饿疾》,龙馍馍,68940,1366949,11164088,BV1dY4y1Y7JC,https://www.bilibili.com/video/BV1dY4y1Y7JC,https://space.bilibili.com/11164088,龙馍馍,450,1364136,32388767,658227334,61824
